tam_motor,cilindrada,consumo_combustible,emision_CO2
2.4,4,9.9,200
3.5,6,12.6,263
2,4,11,232
2,4,11.3,242
2,4,11.2,230
2,4,11.3,231
3,6,12.3,256
3,6,12.3,261
2,4,10,205
2,4,10.5,217
2.9,6,13.5,271
2,4,10.3,218
2,4,10.8,226
2.9,6,13.9,288
4,8,13,271
5.2,12,16.4,324
5.2,12,16.4,324
4,8,16.8,343
4,8,13.1,270
2,4,8.5,178
2,4,9.1,190
2,4,9.8,205
2,4,9.8,208
2,4,10.4,214
2,4,9.8,205
2,4,9.8,205
2,4,10.2,208
3,6,11.1,224
3,6,11.5,234
3,6,11.1,224
3,6,12.6,248
2,4,10.4,215
2,4,11.4,233
2,4,10.3,217
2,4,10.3,220
2,4,10.3,220
2,4,12,252
3,6,12.8,273
3,6,12.8,273
5.2,10,16.7,322
5.2,10,17.9,356
5.2,10,16.7,322
5.2,10,17.9,356
2.9,6,13,267
2.9,6,13.1,268
4,8,16.1,319
4,8,16,315
4,8,18,360
2,4,10,206
3,6,11.1,227
3,6,11.3,233
3,6,11.1,227
3,6,11.1,227
2.9,6,12.8,254
2.9,6,12.8,254
4,8,16.9,323
3,6,12.5,262
3,6,12.5,262
4,8,16,325
4,8,16,325
2,4,10.5,218
2,4,10.5,218
2.5,5,11.7,235
2,4,10,209
4,8,15.8,309
6,12,19,383
4,8,14.9,287
6,12,19.6,379
4,8,15.2,294
6,12,20.3,395
4,8,15.5,323
6,12,19.2,373
2,4,9.5,195
2,4,10,202
2,4,10,202
2,4,10.1,206
3,6,10.5,219
4.4,8,13.9,279
4.4,8,13.9,279
4.4,8,13.9,279
4.4,8,13.9,279
4.4,8,15.7,321
2,4,10.4,214
3,6,10.4,212
3,6,14.7,293
3,6,14.5,292
3,6,14.6,296
3,6,10.4,214
3,6,15.1,301
3,6,14.7,293
3,6,14.5,292
3,6,14.6,296
3,6,10.4,211
3,6,10.4,214
3,6,10.9,224
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,13.5,271
6.6,12,17.8,354
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,16.1,322
4.4,8,13.9,279
4.4,8,13.5,271
4.4,8,13.9,279
2,4,10.3,213
2,4,9.9,207
2,4,9.9,207
2,4,11,230
3,6,15.7,323
3,6,15.7,323
3,6,11.2,241
2,4,11,230
3,6,15.7,323
3,6,15.7,323
3,6,11.2,241
3,6,11.3,241
4.4,8,17.9,364
4.4,8,17.9,364
4.4,8,14.4,302
3,6,11.3,241
4.4,8,17.9,364
4.4,8,17.9,364
4.4,8,14.4,302
3,6,12.1,256
4.4,8,15.7,321
2,4,9.4,199
3,6,10.8,223
8,16,26.8,522
8,16,30.3,608
8,16,30.3,608
3.6,6,13,263
3.6,6,13.6,277
1.4,4,9.7,201
1.4,4,10.2,214
1.2,3,8,184
1.3,3,8.2,185
1.3,3,9,201
2,4,10,209
2,4,10.5,220
2,4,10.2,206
2.7,4,11,221
2,4,10.5,216
2.7,4,11.4,233
2.7,4,11.9,239
2.7,4,12,244
3.6,6,15,297
3.6,6,15.2,303
2,4,10.3,207
3,6,12.4,252
2,4,10.9,222
3,6,12.8,260
3,6,12.8,258
3,6,12.8,260
6.2,8,18.1,346
6.2,8,18.3,356
3,6,11.7,281
6.2,8,16.3,345
6.2,8,17,353
2,4,10,211
2,4,10.9,225
2,4,10.8,225
2,4,11.2,237
3.6,6,12.9,263
2,4,11.2,239
3.6,6,13.1,269
2,4,10.6,221
3.6,6,12.3,252
2,4,10.8,232
3.6,6,12.6,259
2,4,10.9,222
2,4,12.6,239
3.6,6,12.8,251
3.6,6,14.4,281
6.2,8,14.6,281
6.2,8,14.9,296
6.2,8,18.3,355
6.2,8,17.2,349
2.5,4,12.2,257
2.8,4,11.8,270
3.6,6,12.9,263
2.5,4,12.6,267
2.8,4,12.2,283
3.6,6,14,283
2.8,4,13.3,326
3.6,6,15,329
6.2,8,15.1,297
1.5,4,8.9,198
1.5,4,9.4,208
1.5,4,8.2,175
2,4,10.7,213
2.7,4,12.5,274
3,6,10.2,240
5.3,8,16.2,341
5.3,8,21.5,321
5.3,8,15.1,314
5.3,8,14.4,304
2.7,4,13.9,306
2.7,4,14.7,328
3,6,10.9,272
3,6,10.5,265
3,6,11.8,298
5.3,8,16.5,347
5.3,8,22,326
5.3,8,17.4,380
5.3,8,23.1,358
5.3,8,15.6,327
5.3,8,16.9,359
5.3,8,14.7,314
5.3,8,16.8,347
5.3,8,15.3,327
5.3,8,16.1,339
5.3,8,16.6,361
5.3,8,16.8,364
5.3,8,18.1,381
6.2,8,15.7,329
6.2,8,16.6,345
6.2,8,16.5,352
6.2,8,16.5,352
6.2,8,18.2,385
6.2,8,16.7,366
1.4,4,7.7,165
1.4,4,8,170
3,6,11.2,272
5.3,8,15.8,327
5.3,8,16,332
3,6,11.7,281
5.3,8,15.9,336
5.3,8,17,354
6.2,8,16.3,345
6.2,8,17,353
3,6,11,263
5.3,8,15.8,327
5.3,8,16,332
3,6,11.7,281
5.3,8,15.8,327
5.3,8,17,354
6.2,8,16.3,345
6.2,8,17,353
1.2,3,8,184
1.3,3,8,178
1.3,3,8.9,197
3.6,6,13,260
3.6,6,13.6,277
1.4,4,9.7,201
1.4,4,10.2,214
3.6,6,12.4,242
5.7,8,14.7,289
3.6,6,12.8,258
3.6,6,12.4,249
3.6,6,12.4,249
3.6,6,14.1,279
3.6,6,12.4,242
5.7,8,14.7,289
5.7,8,15.6,307
6.4,8,15.8,305
6.4,8,16.7,325
3.6,6,12.8,258
6.4,8,15.8,305
6.4,8,16.7,325
6.2,8,17.6,339
6.2,8,18.1,352
6.2,8,18.6,359
6.2,8,18.1,352
3.6,6,12.4,242
5.7,8,14.7,289
6.4,8,15.8,305
3.6,6,12.8,258
6.4,8,15.8,305
6.2,8,19,368
3.6,6,12.7,265
5.7,8,16.7,331
6.4,8,18.3,363
1.3,4,10,221
2.3,4,12.1,275
2.3,4,12.1,277
2.7,6,12.8,291
2.3,4,13.5,323
2.3,4,14.9,336
2.7,6,14.1,331
2.3,4,13.1,308
2.3,4,13.8,310
2.3,4,13.1,314
2.3,4,13.8,317
2.7,6,14.1,331
1.5,3,9.3,209
2,4,11.1,240
2,4,10.4,219
2,4,11.5,238
2,4,11.6,239
2.7,6,12.6,262
1.5,3,8.5,182
1.5,3,9,198
2,4,10.5,216
2.5,4,5.4,136
2.5,4,5.5,139
3.5,6,14.8,304
3.5,6,15.4,317
3.5,6,14.5,317
3.5,6,15.2,326
2.3,4,11.7,242
2.3,4,12,252
2.3,4,12.2,269
2.3,4,12.5,277
3,6,13.4,277
3.3,6,10.1,225
2.7,6,12.1,256
2.7,6,13.5,282
3.3,6,12.1,260
3.3,6,16.8,249
3.5,6,13.1,275
3.5,6,13.7,281
5,8,14.4,300
5,8,20.8,298
5,8,14.7,302
